sec,nsec,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
50,704000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
50,724000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
50,744000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
50,764000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
50,784000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
50,804000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
50,824000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
50,844000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
50,864000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
50,884000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
50,904000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
50,924000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
50,944000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
50,964000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
50,984000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,4000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,24000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,44000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,64000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,84000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,104000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,124000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,144000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,164000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,184000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,204000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,224000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,244000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,264000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,284000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,304000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,324000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,344000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,364000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,384000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,404000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,424000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,444000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,464000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,484000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,504000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,524000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,544000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,564000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,584000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,604000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,624000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,644000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,664000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,684000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,704000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,724000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,744000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,764000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,784000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,804000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,824000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,844000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,864000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,884000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,904000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,924000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,944000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,964000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
51,984000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
52,4000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
52,24000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
52,44000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
52,64000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
52,84000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
52,104000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
52,124000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
52,144000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
52,164000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
52,184000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
52,204000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
52,224000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
52,244000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
52,264000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
52,284000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
52,304000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
52,324000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
52,344000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
52,364000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
52,384000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
52,404000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
52,424000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
52,444000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
52,464000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
52,484000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
52,504000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
52,524000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
52,544000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
52,564000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
52,584000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
52,604000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
52,624000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
52,644000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
52,664000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
52,684000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
52,704000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
52,724000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
52,744000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
52,764000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
52,784000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
52,804000000,-6.19243e-18,-2,0.0549976,3.14159,-3.14159,3.14159,0,0,0,0,0,0
