sec,nsec,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
95,514000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
95,534000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
95,554000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
95,574000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
95,594000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
95,614000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
95,634000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
95,654000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
95,674000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
95,694000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
95,714000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
95,734000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
95,754000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
95,774000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
95,794000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
95,814000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
95,834000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
95,854000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
95,874000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
95,894000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
95,914000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
95,934000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
95,954000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
95,974000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
95,994000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,14000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,34000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,54000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,74000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,94000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,114000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,134000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,154000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,174000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,194000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,214000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,234000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,254000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,274000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,294000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,314000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,334000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,354000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,374000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,394000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,414000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,434000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,454000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,474000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,494000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,514000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,534000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,554000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,574000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,594000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,614000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,634000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,654000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,674000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,694000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,714000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,734000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,754000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,774000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,794000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,814000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,834000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,854000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,874000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,894000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,914000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,934000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,954000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,974000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
96,994000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
97,14000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
97,34000000,1.98737e-17,1,0.0549976,3.14159,3.14159,3.14159,0,0,0,0,0,0
97,54000000,-1.07366e-10,1,0.0549986,1.02183e-09,-1.95211e-09,1.83128e-11,-1.07364e-09,-5.62e-10,1.00326e-05,1.02183e-08,-1.95211e-08,1.83129e-10
97,74000000,-1.07366e-10,1,0.0549986,1.02183e-09,-1.95211e-09,1.83128e-11,-1.07364e-09,-5.62e-10,1.00326e-05,1.02183e-08,-1.95211e-08,1.83129e-10
97,94000000,-1.07366e-10,1,0.0549986,1.02183e-09,-1.95211e-09,1.83128e-11,-1.07364e-09,-5.62e-10,1.00326e-05,1.02183e-08,-1.95211e-08,1.83129e-10
97,114000000,-1.07366e-10,1,0.0549986,1.02183e-09,-1.95211e-09,1.83128e-11,-1.07364e-09,-5.62e-10,1.00326e-05,1.02183e-08,-1.95211e-08,1.83129e-10
97,134000000,-1.07366e-10,1,0.0549986,1.02183e-09,-1.95211e-09,1.83128e-11,-1.07364e-09,-5.62e-10,1.00326e-05,1.02183e-08,-1.95211e-08,1.83129e-10
97,154000000,-1.07366e-10,1,0.0549986,1.02183e-09,-1.95211e-09,1.83128e-11,0,0,0,0,0,0
97,174000000,-1.07366e-10,1,0.0549986,1.02183e-09,-1.95211e-09,1.83128e-11,0,0,0,0,0,0
97,194000000,-1.07366e-10,1,0.0549986,1.02183e-09,-1.95211e-09,1.83128e-11,0,0,0,0,0,0
97,214000000,-1.07366e-10,1,0.0549986,1.02183e-09,-1.95211e-09,1.83128e-11,0,0,0,0,0,0
97,234000000,-1.07366e-10,1,0.0549986,1.02183e-09,-1.95211e-09,1.83128e-11,0,0,0,0,0,0
97,254000000,-1.07366e-10,1,0.0549986,1.02183e-09,-1.95211e-09,1.83128e-11,0,0,0,0,0,0
97,274000000,-1.07366e-10,1,0.0549986,1.02183e-09,-1.95211e-09,1.83128e-11,0,0,0,0,0,0
97,294000000,-1.07366e-10,1,0.0549986,1.02183e-09,-1.95211e-09,1.83128e-11,0,0,0,0,0,0
97,314000000,-1.07366e-10,1,0.0549986,1.02183e-09,-1.95211e-09,1.83128e-11,0,0,0,0,0,0
97,334000000,-1.07366e-10,1,0.0549986,1.02183e-09,-1.95211e-09,1.83128e-11,0,0,0,0,0,0
97,354000000,-1.07366e-10,1,0.0549986,1.02183e-09,-1.95211e-09,1.83128e-11,0,0,0,0,0,0
97,374000000,-1.07366e-10,1,0.0549986,1.02183e-09,-1.95211e-09,1.83128e-11,0,0,0,0,0,0
97,394000000,-1.07366e-10,1,0.0549986,1.02183e-09,-1.95211e-09,1.83128e-11,0,0,0,0,0,0
97,414000000,-1.07366e-10,1,0.0549986,1.02183e-09,-1.95211e-09,1.83128e-11,0,0,0,0,0,0
97,434000000,-1.07366e-10,1,0.0549986,1.02183e-09,-1.95211e-09,1.83128e-11,0,0,0,0,0,0
97,454000000,-1.07366e-10,1,0.0549986,1.02183e-09,-1.95211e-09,1.83128e-11,0,0,0,0,0,0
97,474000000,-1.07366e-10,1,0.0549986,1.02183e-09,-1.95211e-09,1.83128e-11,0,0,0,0,0,0
97,494000000,-1.07366e-10,1,0.0549986,1.02183e-09,-1.95211e-09,1.83128e-11,0,0,0,0,0,0
97,514000000,-1.07366e-10,1,0.0549986,1.02183e-09,-1.95211e-09,1.83128e-11,0,0,0,0,0,0
97,534000000,-1.07366e-10,1,0.0549986,1.02183e-09,-1.95211e-09,1.83128e-11,0,0,0,0,0,0
97,554000000,-1.07366e-10,1,0.0549986,1.02183e-09,-1.95211e-09,1.83128e-11,0,0,0,0,0,0
97,574000000,-1.07366e-10,1,0.0549986,1.02183e-09,-1.95211e-09,1.83128e-11,0,0,0,0,0,0
97,594000000,-1.07366e-10,1,0.0549986,1.02183e-09,-1.95211e-09,1.83128e-11,0,0,0,0,0,0
97,614000000,-1.07366e-10,1,0.0549986,1.02183e-09,-1.95211e-09,1.83128e-11,0,0,0,0,0,0
97,634000000,-1.07366e-10,1,0.0549986,1.02183e-09,-1.95211e-09,1.83128e-11,0,0,0,0,0,0
97,654000000,-1.07366e-10,1,0.0549986,1.02183e-09,-1.95211e-09,1.83128e-11,0,0,0,0,0,0
97,674000000,-4.814e-07,1,0.0550329,1.27905e-05,-5.23921e-05,-2.11664e-06,-4.79675e-06,-2.61359e-06,0.000342462,0.000127896,-0.000523901,-2.11733e-05
97,694000000,-1.08983e-06,0.999999,0.0552052,5.00097e-05,-0.000181769,-4.13022e-06,-1.06143e-05,-5.39959e-06,0.0020658,0.000500094,-0.00181766,-4.13933e-05
97,714000000,-2.29994e-06,0.999999,0.0555946,0.00011383,-0.000367824,-5.19521e-06,-2.14392e-05,-9.44975e-06,0.00596035,0.00113831,-0.00367822,-5.2371e-05
97,734000000,-4.86356e-06,0.999998,0.0563168,0.000186856,-0.000588964,1.13785e-06,-4.31813e-05,-1.6765e-05,0.0131817,0.00186854,-0.00588962,1.02778e-05
97,754000000,-9.72694e-06,0.999997,0.0574933,0.000276255,-0.000829643,6.58353e-06,-8.26839e-05,-2.95478e-05,0.0249468,0.00276249,-0.00829643,6.35432e-05
97,774000000,-1.79423e-05,0.999994,0.0592097,0.00038263,-0.00105803,6.40884e-06,-0.000142773,-4.75896e-05,0.0417683,0.00369833,-0.0100564,8.12132e-05
97,794000000,-3.05202e-05,0.99999,0.0615274,0.000491858,-0.00128576,4.43111e-07,-0.000234164,-7.6413e-05,0.0632224,0.00441848,-0.0110399,3.95001e-05
97,814000000,-4.84473e-05,0.999983,0.0644963,0.000594269,-0.00151471,-4.34824e-06,-0.000359251,-0.000118306,0.0890173,0.00480445,-0.0114688,-1.13044e-07
97,834000000,-7.27146e-05,0.999975,0.068163,0.000688139,-0.00174938,-6.08155e-06,-0.000518066,-0.000174455,0.118463,0.00501296,-0.0116041,-8.31317e-05
97,854000000,-0.000104348,0.999963,0.0725772,0.000772579,-0.00196336,-9.93893e-06,-0.000710417,-0.00024555,0.150841,0.0049635,-0.0113371,-0.000178101
97,874000000,-0.000144275,0.999948,0.0777753,0.000850887,-0.00215434,-1.32965e-05,-0.000935118,-0.000331579,0.185659,0.00468294,-0.0109629,-0.000211337
97,894000000,-0.000193296,0.999929,0.0837878,0.000929734,-0.00230986,-1.64952e-05,-0.00119135,-0.000431268,0.222607,0.00437916,-0.0102409,-0.000184535
97,914000000,-0.000252028,0.999907,0.0906378,0.00100633,-0.00244938,-1.96147e-05,-0.00147728,-0.000542949,0.261419,0.00412105,-0.00934652,-0.000168312
97,934000000,-0.000320983,0.99988,0.0983486,0.00106859,-0.00257992,-2.08004e-05,-0.0017897,-0.000665819,0.301862,0.00380501,-0.0083052,-0.00016272
97,954000000,-0.000400618,0.999849,0.106938,0.00111131,-0.00269562,-1.9822e-05,-0.00212501,-0.000799657,0.343613,0.00338764,-0.00732241,-0.000113619
97,974000000,-0.000491306,0.999813,0.11642,0.0011266,-0.00278612,-2.00805e-05,-0.00247999,-0.000944857,0.386459,0.00275743,-0.0063177,-8.08975e-05
97,994000000,-0.000593294,0.999772,0.126807,0.001124,-0.00284732,-2.06128e-05,-0.00285215,-0.00110142,0.430201,0.00194285,-0.00537446,-5.1704e-05
98,14000000,-0.000706669,0.999727,0.138106,0.00111437,-0.00289646,-1.93001e-05,-0.00323801,-0.0012674,0.474694,0.00108049,-0.00447083,-4.48291e-06
